Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
210,train_9x9_0219,9,500,-12.96,0,-0.0693
211,train_9x9_0262,9,418,-9.24,1,-0.0693
212,train_9x9_0468,9,500,-14.15,0,-0.0693
213,train_9x9_0360,9,500,-14.79,0,-0.0693
214,train_9x9_0275,9,233,-4.39,1,-0.0693
215,train_9x9_0318,9,196,-3.45,1,-0.0693
216,train_9x9_0386,9,500,-13.84,0,-0.0693
217,train_9x9_0412,9,500,-13.39,0,-0.0693
218,train_9x9_0005,9,312,-6.97,1,-0.0693
219,train_9x9_0114,9,500,-13.22,0,-0.0693
220,train_9x9_0412,9,500,-13.14,0,-0.0693
221,train_9x9_0093,9,500,-13.03,0,-0.0693
222,train_9x9_0352,9,484,-11.61,1,-0.0693
223,train_9x9_0397,9,500,-14.19,0,-0.0693
224,train_9x9_0122,9,399,-8.66,1,-0.0693
225,train_9x9_0214,9,189,-2.78,1,-0.0693
226,train_9x9_0097,9,122,-1.29,1,-0.0693
227,train_9x9_0268,9,500,-13.14,0,-0.0693
228,train_9x9_0407,9,500,-14.53,0,-0.0693
229,train_9x9_0127,9,500,-14.2,0,-0.0693
230,train_9x9_0001,9,115,-0.87,1,-0.0693
231,train_9x9_0110,9,214,-4.06,1,-0.0693
232,train_9x9_0253,9,240,-4.63,1,-0.0693
233,train_9x9_0171,9,292,-6.22,1,-0.0693
234,train_9x9_0096,9,500,-12.87,0,-0.0693
235,train_9x9_0457,9,202,-3.77,1,-0.0693
236,train_9x9_0382,9,406,-8.99,1,-0.0693
237,train_9x9_0454,9,500,-13.74,0,-0.0693
238,train_9x9_0145,9,121,-0.94,1,-0.0693
239,train_9x9_0163,9,500,-13.56,0,-0.0693
240,train_9x9_0387,9,500,-12.73,0,-0.0693
241,train_9x9_0367,9,500,-13.62,0,-0.0693
242,train_9x9_0408,9,70,-0.28,1,-0.0693
243,train_9x9_0367,9,500,-13.26,0,-0.0693
244,train_9x9_0248,9,457,-10.86,1,-0.0693
245,train_9x9_0172,9,500,-13.88,0,-0.0693
246,train_9x9_0174,9,500,-14.14,0,-0.0693
247,train_9x9_0476,9,500,-13.45,0,-0.0693
248,train_9x9_0485,9,500,-14.09,0,-0.0693
249,train_9x9_0362,9,500,-13.79,0,-0.0693
250,train_9x9_0216,9,14,1.8,1,-0.0693
251,train_9x9_0084,9,500,-14.23,0,-0.0693
252,train_9x9_0141,9,466,-11.47,1,-0.0693
253,train_9x9_0432,9,500,-12.85,0,-0.0693
254,train_9x9_0036,9,500,-13.14,0,-0.0693
255,train_9x9_0465,9,204,-4.26,1,-0.0693
256,train_9x9_0189,9,500,-13.3,0,-0.0693
257,train_9x9_0250,9,500,-14.12,0,-0.0693
258,train_9x9_0373,9,438,-10.28,1,-0.0693
259,train_9x9_0405,9,500,-12.58,0,-0.0693
260,train_9x9_0218,9,500,-12.66,0,-0.0693
261,train_9x9_0444,9,500,-13.29,0,-0.0693
262,train_9x9_0254,9,129,-1.29,1,-0.0693
263,train_9x9_0472,9,500,-13.61,0,-0.0693
264,train_9x9_0289,9,293,-6.91,1,-0.0693
265,train_9x9_0241,9,500,-13.3,0,-0.0693
266,train_9x9_0421,9,500,-13.95,0,-0.0693
267,train_9x9_0381,9,38,1.02,1,-0.0693
268,train_9x9_0197,9,500,-13.32,0,-0.0693
269,train_9x9_0013,9,500,-13.22,0,-0.0693
270,train_9x9_0093,9,500,-14.23,0,-0.0693
271,train_9x9_0361,9,164,-1.75,1,-0.0693
272,train_9x9_0128,9,500,-14.46,0,-0.0693
273,train_9x9_0061,9,178,-2.27,1,-0.0693
274,train_9x9_0171,9,326,-7.81,1,-0.0693
275,train_9x9_0037,9,500,-12.85,0,-0.0693
276,train_9x9_0274,9,350,-7.67,1,-0.0693
277,train_9x9_0244,9,500,-14.46,0,-0.0693
278,train_9x9_0065,9,70,0.31,1,-0.0693
279,train_9x9_0402,9,231,-4.19,1,-0.0693
280,train_9x9_0089,9,126,-0.82,1,-0.0693
281,train_9x9_0217,9,179,-2.4,1,-0.0693
282,train_9x9_0294,9,363,-7.54,1,-0.0693
283,train_9x9_0179,9,173,-3.22,1,-0.0693
284,train_9x9_0227,9,500,-13.7,0,-0.0693
285,train_9x9_0061,9,500,-13.29,0,-0.0693
286,train_9x9_0254,9,66,0.39,1,-0.0693
287,train_9x9_0089,9,500,-12.95,0,-0.0693
288,train_9x9_0050,9,500,-13.71,0,-0.0693
289,train_9x9_0110,9,22,1.45,1,-0.0693
290,train_9x9_0416,9,216,-4.67,1,-0.0693
291,train_9x9_0164,9,407,-8.91,1,-0.0693
292,train_9x9_0293,9,500,-13.41,0,-0.0693
293,train_9x9_0130,9,261,-5.49,1,-0.0693
294,train_9x9_0149,9,344,-7.54,1,-0.0693
295,train_9x9_0037,9,500,-13.69,0,-0.0693
296,train_9x9_0005,9,99,-0.93,1,-0.0693
297,train_9x9_0000,9,500,-14.02,0,-0.0693
298,train_9x9_0463,9,500,-14.2,0,-0.0693
299,train_9x9_0004,9,500,-13.42,0,-0.0693
300,train_9x9_0287,9,214,-3.52,1,-0.0693
301,train_9x9_0204,9,500,-13.87,0,-0.0693
302,train_9x9_0396,9,500,-14.53,0,-0.0693
303,train_9x9_0336,9,500,-14.28,0,-0.0693
304,train_9x9_0168,9,229,-4.64,1,-0.0693
305,train_9x9_0160,9,433,-9.83,1,-0.0693
306,train_9x9_0088,9,375,-8.99,1,-0.0693
307,train_9x9_0375,9,146,-1.49,1,-0.0693
