Episode,Maze_ID,Maze_Size,Steps,Total_Reward,Success,Loss
182,train_9x9_0342,9,500,-13.89,0,-0.4821
183,train_9x9_0072,9,500,-14.19,0,-0.5223
184,train_9x9_0103,9,500,-13.96,0,-0.4888
185,train_9x9_0475,9,500,-14.21,0,-0.5296
186,train_9x9_0183,9,500,-13.35,0,-0.4518
187,train_9x9_0254,9,22,1.84,1,7.1887
188,train_9x9_0128,9,500,-13.34,0,-0.451
189,train_9x9_0184,9,500,-14.59,0,-0.5262
190,train_9x9_0127,9,500,-14.27,0,-0.4297
191,train_9x9_0284,9,500,-13.19,0,-0.3501
192,train_9x9_0499,9,99,-0.47,1,4.4787
193,train_9x9_0052,9,75,0.19,1,4.0103
194,train_9x9_0035,9,500,-14.62,0,-0.5281
195,train_9x9_0026,9,500,-13.59,0,-0.472
196,train_9x9_0229,9,500,-13.79,0,-0.4774
197,train_9x9_0442,9,233,-4.29,1,1.0444
198,train_9x9_0353,9,500,-14.01,0,-0.4596
199,train_9x9_0482,9,431,-10.66,1,0.1437
200,train_9x9_0043,9,307,-6.4,1,0.9055
201,train_9x9_0132,9,500,-14.91,0,-0.4486
202,train_9x9_0212,9,500,-14.84,0,-0.4723
203,train_9x9_0335,9,463,-11.82,1,0.2541
204,train_9x9_0229,9,500,-14.18,0,-0.4638
205,train_9x9_0027,9,500,-13.44,0,-0.2007
206,train_9x9_0166,9,413,-8.95,1,0.7717
207,train_9x9_0279,9,500,-14.63,0,-0.38
208,train_9x9_0176,9,500,-14.13,0,-0.3922
209,train_9x9_0128,9,500,-14.21,0,-0.3545
210,train_9x9_0421,9,292,-6.05,1,1.0808
211,train_9x9_0413,9,500,-13.99,0,-0.3156
212,train_9x9_0413,9,500,-14.18,0,-0.2581
213,train_9x9_0057,9,500,-13.61,0,-0.2809
214,train_9x9_0181,9,500,-14.63,0,-0.1874
215,train_9x9_0079,9,50,1.31,1,7.7763
216,train_9x9_0312,9,500,-14.88,0,-0.1969
217,train_9x9_0282,9,339,-7.15,1,1.1987
218,train_9x9_0224,9,500,-12.71,0,-0.0513
219,train_9x9_0199,9,244,-4.89,1,1.7785
220,train_9x9_0050,9,196,-3.26,1,3.1726
221,train_9x9_0186,9,374,-8.5,1,0.72
222,train_9x9_0159,9,500,-12.88,0,-0.0983
223,train_9x9_0382,9,500,-13.07,0,-0.2902
224,train_9x9_0456,9,500,-13.09,0,-0.2321
225,train_9x9_0066,9,500,-14.02,0,-0.3522
226,train_9x9_0190,9,65,-0.3,1,5.1853
227,train_9x9_0060,9,500,-13.46,0,-0.3709
228,train_9x9_0418,9,500,-13.53,0,-0.221
229,train_9x9_0329,9,481,-11.53,1,0.4224
230,train_9x9_0455,9,488,-11.23,1,0.1934
231,train_9x9_0101,9,500,-13.91,0,-0.4056
232,train_9x9_0078,9,157,-2.35,1,2.0609
233,train_9x9_0406,9,361,-7.76,1,0.6757
234,train_9x9_0111,9,151,-1.67,1,2.9244
235,train_9x9_0442,9,38,1.64,1,7.4639
236,train_9x9_0133,9,110,-0.41,1,3.3742
237,train_9x9_0456,9,500,-13.08,0,-0.4681
238,train_9x9_0416,9,27,0.92,1,4.8093
239,train_9x9_0226,9,500,-14.24,0,-0.5987
240,train_9x9_0218,9,500,-12.87,0,-0.5825
241,train_9x9_0245,9,500,-13.72,0,-0.6455
242,train_9x9_0387,9,307,-5.8,1,0.3325
243,train_9x9_0257,9,110,-1.35,1,3.091
244,train_9x9_0471,9,500,-14.17,0,-0.7023
245,train_9x9_0337,9,500,-13.76,0,-0.6953
246,train_9x9_0096,9,500,-13.67,0,-0.6951
247,train_9x9_0467,9,256,-4.93,1,0.7628
248,train_9x9_0414,9,330,-6.79,1,0.1276
249,train_9x9_0260,9,500,-12.86,0,-0.6536
250,train_9x9_0198,9,500,-14.8,0,-0.663
251,train_9x9_0044,9,238,-4.16,1,0.7774
252,train_9x9_0300,9,500,-13.28,0,-0.6467
253,train_9x9_0227,9,227,-4.12,1,1.1041
254,train_9x9_0303,9,500,-13.16,0,-0.6074
255,train_9x9_0012,9,500,-13.94,0,-0.6406
256,train_9x9_0278,9,312,-6.82,1,0.2557
257,train_9x9_0183,9,500,-13.32,0,-0.6082
258,train_9x9_0166,9,340,-6.77,1,0.2271
259,train_9x9_0459,9,63,0.35,1,4.6967
260,train_9x9_0321,9,500,-14.05,0,-0.567
261,train_9x9_0401,9,225,-3.5,1,1.6007
262,train_9x9_0018,9,82,0.03,1,3.3702
263,train_9x9_0474,9,500,-14.09,0,-0.5965
264,train_9x9_0277,9,500,-14.0,0,-0.5796
265,train_9x9_0163,9,241,-5.16,1,0.9664
266,train_9x9_0284,9,500,-13.91,0,-0.6091
267,train_9x9_0352,9,246,-5.07,1,0.8725
268,train_9x9_0145,9,500,-14.09,0,-0.5717
269,train_9x9_0338,9,500,-13.48,0,-0.4983
270,train_9x9_0371,9,210,-3.57,1,1.1381
271,train_9x9_0124,9,500,-13.75,0,-0.5409
272,train_9x9_0098,9,500,-12.87,0,-0.4328
273,train_9x9_0147,9,500,-14.53,0,-0.5382
274,train_9x9_0153,9,69,0.08,1,4.4139
275,train_9x9_0254,9,371,-8.15,1,0.5632
276,train_9x9_0075,9,212,-3.54,1,1.2626
277,train_9x9_0096,9,500,-14.66,0,-0.492
278,train_9x9_0385,9,438,-10.1,1,0.0961
279,train_9x9_0350,9,254,-5.29,1,1.1204
280,train_9x9_0387,9,500,-14.47,0,-0.5126
281,train_9x9_0237,9,500,-13.15,0,-0.421
282,train_9x9_0465,9,500,-13.66,0,-0.519
283,train_9x9_0301,9,94,-0.01,1,3.9222
284,train_9x9_0319,9,101,-0.66,1,4.1668
285,train_9x9_0462,9,500,-13.45,0,-0.444
286,train_9x9_0058,9,186,-2.83,1,2.4107
287,train_9x9_0282,9,366,-8.63,1,0.2872
288,train_9x9_0086,9,500,-14.12,0,-0.5488
289,train_9x9_0117,9,500,-14.31,0,-0.5469
290,train_9x9_0200,9,500,-14.76,0,-0.5549
291,train_9x9_0322,9,275,-5.45,1,0.9074
292,train_9x9_0323,9,243,-4.87,1,1.2269
293,train_9x9_0142,9,421,-10.14,1,0.0799
294,train_9x9_0174,9,500,-14.49,0,-0.5494
295,train_9x9_0225,9,500,-14.3,0,-0.5869
296,train_9x9_0337,9,500,-14.02,0,-0.5099
297,train_9x9_0317,9,340,-7.84,1,0.488
298,train_9x9_0295,9,500,-13.25,0,-0.475
299,train_9x9_0199,9,500,-13.26,0,-0.3752
300,train_9x9_0170,9,53,1.04,1,6.1409
301,train_9x9_0424,9,51,1.3,1,6.0081
302,train_9x9_0185,9,14,1.57,1,6.9008
303,train_9x9_0455,9,500,-13.89,0,-0.5169
